fig_id,time,obs.insulin,comp.insulin,diff_insulin,ins.effect,glucose,comp. Glu,diff_glucose
minmod_3a_3b,0,11,410.4,339.4,0,92,287,195
minmod_3a_3b,2,26,229.4,203.4,0.0002,350,275.1,-74.9
minmod_3a_3b,4,130,132.5,2.5,0.0017,287,263.7,-23.3
minmod_3a_3b,6,85,80.4,-4.6,0.0037,251,251.9,0.9
minmod_3a_3b,8,51,52.9,1.9,0.0048,240,240.2,0.2
minmod_3a_3b,10,49,38.4,-10.6,0.0055,216,228.8,12.8
minmod_3a_3b,12,45,31.2,-13.8,0.0061,211,218,7
minmod_3a_3b,14,41,28.1,-12.9,0.0066,205,207.7,2.7
minmod_3a_3b,16,35,27,-8,0.007,196,198,2
minmod_3a_3b,19,30,27.3,-2.7,0.0073,192,184.6,-7.4
minmod_3a_3b,22,30,27.7,-2.3,0.0076,172,172.4,0.4
minmod_3a_3b,27,27,28.3,1.3,0.0079,163,154.7,-8.3
minmod_3a_3b,32,30,27.5,-2.5,0.0082,142,140,-2
minmod_3a_3b,42,22,24.4,2.4,0.0085,124,117.5,-6.5
minmod_3a_3b,52,15,18.6,3.6,0.008,105,102.4,-2.6
minmod_3a_3b,62,15,11.4,-3.6,0.0072,92,92.8,0.8
minmod_3a_3b,72,11,7.3,-3.7,0.0064,84,86.8,2.8
minmod_3a_3b,82,10,7,-3,0.0056,77,83.3,6.3
minmod_3a_3b,92,8,7,-1,0.0047,82,81.5,-0.5
minmod_3a_3b,102,11,7,-4,0.0041,81,80.7,-0.3
minmod_3a_3b,122,7,7,0,0.003,82,80.8,-1.2
minmod_3a_3b,142,8,7,-1,0.0021,82,82.1,0.1
minmod_3a_3b,162,8,7,-1,0.0015,85,83.6,-1.4
minmod_3a_3b,182,7,7.3,0.3,0.0011,90,84.9,-5.1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
